[01:58:58] 日志路径: D:\APP\Steam\APP\steamapps\workshop\content\3167020\3591672666\logs\mshookl_log_20251026_015858.txt
[01:58:58] 模组启动，开始初始化
[01:58:58] DLL路径: D:\APP\Steam\APP\steamapps\workshop\content\3167020\3591672666
[01:58:58] 父级目录: D:\APP\Steam\APP\steamapps\workshop\content\3167020
[01:58:58] 准备从 D:\APP\Steam\APP\steamapps\workshop\content\3167020\3591672666\configs\ItemIdMappings.json 加载ID映射
[01:58:58] 成功加载ID映射，共 9 个映射项
[01:58:58] 映射示例: 键 431692799 -> 值 95001
[01:58:58] 映射示例: 键 1644237146 -> 值 95002
[01:58:58] 映射示例: 键 1920135019 -> 值 95003
[01:58:58] 映射示例: 键 1287883106 -> 值 100101
[01:58:58] 映射示例: 键 1089661518 -> 值 100001
[01:58:58] ID映射加载完成，将在处理物品时动态管理已使用ID
[01:58:58] 从默认配置文件夹加载了 7 个有效的配置文件
[01:58:58] 从 3592106393 目录加载配置文件: 80000000_战斗机模型藏品.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000001_夜星战车.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000002_兽型辅首.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000003_神鸟凤凰.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000004_镇宅狮子雕像.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000005_战舰模型.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000006_纪念数字币.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000007_手提灯.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000008_鎏金盘龙大花瓶.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000009_重型主战坦克模型.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000010_奔马塑像.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000011_纯金背带裤.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000012_传世金刀.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000013_传世金龙.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000014_蛋仔仔.json
[01:58:58] 从 3592106393 目录加载配置文件: 80000015_古董阔剑.json
